company0,job_title0,descrip0,company1,job_title1,descrip1,company2,job_title2,descrip2,company3,job_title3,descrip3,company4,job_title4,descrip4,school,degree,school_score,skill_score,,
Uber,Software Engineering Intern, Maps  Sensor Intelligence , Science Intern at Sun Life Financial,Actuarial , Corporate Risk  Predictive Analytics ,The University of British Columbia,Computer Science Teaching Assistant,Courses  CPSC 221  Algorithms and Data Structures  CPSC 110  Computation Programs and Programming  Assisted students in grasping function design data structures and algorithms in C   Responsible for instructing marking and helping students during labs and office hours ,stical Genetics Intern at Institute for Heart + Lung Health,S, Recipient of the Canadian Institutes of Health Research  Undergraduate Summer Fellowship  Used statistical and data mining methods to test for disease association  Debugged Perl program in order to perform gene ontology enrichment analyses with statistical corrections on genotype phenotype data  Gave presentation of personal research Gene Ontology Enrichment Analysis of Asthma Genome Wide Association Studies to professors and students at the Center , Analyst at Applied Quantitative Methods (AQM),,  Proposed to TransLink Greater Vancouver public transit company System Analytics with a bus scheduler model theorized to increase bus operation efficiency by 87 and rider comfort by 22   Enhanced prediction skills with regression validation and data visualization techniques on R C   Worked with historical data alongside 10 motivated undergraduate and graduate data analysts ,The University of British Columbia, Association Portfolio Management Competition UBC Science Undergraduate Society UBC Applied,1,,,
Best Buy,Sales Supervisor- Mobile,SOFTWARE DATA PROGRAMMER at Production Services Associates November 2015   Present  2 years ,Production Services Associates,SOFTWARE/DATA PROGRAMMER, Retrieves documents and data files from emails or FTP sites and performs necessary data formatting    Assists with the design analysis maintenance documentation and testing of proprietary card application systems  Assists with coding debugging testing  documentation of application programs using VB Net and SQL  Using custom software enters pertinent information from Work Instructions and formats data files accordingly  Compares data entered to source documents or re entry in verification format on screen to detect errors  Corrects compiles sorts and verifies accuracy of data to be entered  Completion  printing of labels and job tickets  Assists with design of new programs  enhancements to existing code  Maintains and files records to maintain organization  Provides assistance to other programmers  team members ,Geek Squad,Agent Defender/ Case Manager,Geek Squad Customer Care ,ons Agent at Geek Squad,Ope,Consultation Agent at Geek Squad December 2015   November 2016  1 year ,on Agent at Geek Squad,Consul,Web Developer Computer Programmer at The Fruit Gang July 2016   October 2016  4 months ,DeVry University,0,1,,,
TripAdvisor,Software Developer, Developed and improved the Flight module of TripAdvisor Android native App  Designed and implemented a new lock price feature  Flyr Fare Keep  to lock the ticket price in 7 days  Enhanced a feature called  Tracking Tree  to collect and understand the customers itinerary details which helps the company to create new profitable business objectives  Maintained and improved the Flights and Hotel modules of TripAdvisor Android App using various testing methodologies ,Wuhan National Laboratory for Optoelectronics,Research Assistant,Education Rutgers The State University of New Jersey New Brunswick Master s Degree Computer Engineering 2013  2015 Huazhong Univ of Sci and Tech Bachelor of Engineering BEng  Optoelectronic Information Engineering 2009  2013 Activities and Societies  Member of College Debate Team HUST ,0,0,0,0,0,0,0,0,0,Rutgers The State University of New Jersey New Brunswick,Master s Degree Computer Engineering 2013  2015,1,,,
Uber,Software Engineer - Vehicle Reliability Engineer, Self-Driving,Software Engineer MTS 2 at Hughes Network Systems June 2015   January 2017  1 year 8 months ,Hughes Network Systems,Software Engineer- MTS 2, Understand and implement work flow for SDLC  Design and develop multi threaded apps on top on linux TCP IP stack in C C  and Python  Provide full stack support during application building from front end to the backend  Compose Interface Control and High Level Design Documents for application features  Create SNMP subagent wrapper containers in Python and C based code bases   RESTful exposure of backend APIs to the front end for consumption using CGIs  Write Unittest cases and perform System Integration and System Pair Wise testing   Provide Customer support in form of ticket resolution and software defect management   ,0,University of Maryland, Develop and integrate applications and process for ELMS an enterprise academic system  Working in an Agile development environment with primary application developers  Design develop and implement JAVA applications for ELMS Management Tool EMT  Managing work flow and ticketing through JIRA  Leveraging REST APIs to create tools for EMT  Subversion control Eclipse Linux MySQL Ruby on Rails Apache , Assistant II at School of Public Health  University of Maryland,IT Project Manager, Grad,Lead Roles  Coordinated smooth functioning between IT and Facility operations  Supervised inventory management of all the IT and Facility related purchases  Supervised Website related issues and concerns from staff and faculty  In charge of monitoring and updating digital signage solution across the school  Accountable for documenting and processing old inventory roll outs sending off old inventory ,ons Engineering Intern  Graduate at DIRECTV,Appli,Trained by NACE and Certified by SBCA on COM2000 HD Distribution System ,University of Maryland College Park,Master of Science MS  Telecommunications Engineering 2013  2015,1,
TripAdvisor,Software Engineer,iOS Software Engineer at Adeptech Systems Inc June 2015   December 2016  1 year 7 months ,Adeptech Systems Inc,iOS Software Engineer, Performed in a Lead developer role for VeeV a fashion app with visual recognition technology  Involved in entire app life cycle concept design development testing and release to App Store  Designed UI UX using Sketch Illustrator and prototype in Keynote InVision  Built custom transitions categories using Core Graphics and Core Animation frameworks for intuitive user interactions  Efficient use of SQLite with SQLCipher extension to manage and encrypt app data  Scaled up the project with several libraries e g GCM for push notifications and Answers for analytics using CocoaPods dependency manager  Involved in development of RESTful web services using Node js ,on Developer at Cinet.com,Mobile Appli, Performed in a Lead developer role for Wireless Audio Distributor WAD  an audio app that allows users to stream audio transmitted via LAN WAD Console a lightweight enterprise application for iPad that communicates with WAD server and functions as a remote  Designed and developed WAD Console app from the ground up   Helped building private C  framework for communicating with LAN server  Redesigned the WAD app adapting UI to then new flat iOS 7 design and added new audio functionalities ,0,0,0,0,0,0,George Mason University,Master s Degree Computer Engineering 2013  2015,1,,,
TripAdvisor,Software Engineer II,Software Engineer at TripAdvisor October 2014   February 2017  2 years 5 months ,TripAdvisor,Software Engineer,Research Assistant at Qingdao University of Science and Technology June 2010   October 2011  1 year 5 months ,Qingdao University of Science and Technology,Research Assistant,Conducted research on a theory of Model free Adaptive Control with application of inverted pendulum derived by Prof Ronghu Chi Invested different approaches in achieving the good performance on inverted pendulum Proposed and tested Model free Adaptive Control using Matlab Implemented the whole model of control system including MFAC processor and inverted pendulum ,Yantai University,Research Assistant,Participated in the Project of the Cognitive Radio using energy detection in Xilinx ISE environment led by Prof Wenqing Fan and Prof Liuyun Xue Devoted efforts in the study theory of Cognitive Radio methods in energy detection Conducted the FFT Fast Fourier Tansform processor using VHDL and applied to the energy detection methods ,0,0,0,State University of New York at Buffalo,Master of Science MS  EE 2012  2014,1,,,
Dell,Software Development Engineer,Develop data analytics tools to provide insights and predictions  , at Dell,Intern Undergrad Assoc, Global Operations Engineering Technology Team Developed a production level application to automate the management of image configuration file at ODMs and Dell Facilities globally  Simplified management of the configuration file  Validated entries to the configuration file to remove errors and avoid factory downtime  Enabled role based access to provide need based visibility to data  tools to team members ,Duke Energy Corporation,Research Intern, Modeled and simulated of plasma enhanced chemical vapor deposition  Modeled and Simulated of Ionospheric Disturbances A Novel Proposition ,Dell,Intern Undergrad Sr. Analyst, Designed and developed an infrastructure test automation engine  Reduced time spent and inefficiency in infrastructure testing process  Configured an infrastructure OS deployment utility  Enabled remote deployment of Operating Systems on multiple infrastructure ,cs Research Assistant at Claflin University,Bioinfro,Identified missing protein interaction links for Asthma and Allergy protein protein interaction network biomarker ,Claflin University,0,1,,,
Amazon,Software Engineer, Worked on Amazon Retail Pricing team that handles all of Amazon Retail price calculation  Worked on several large scalable system projects from scratch to post implementation mainly using JAVA  Contributed to the new big data platform using AWS tools S3 Data pipeline EMR DynamoDB  SQS  Work experiences of Hadoop technologies such as Spark and Hive  Served as the first member of a new team Worked with manager and product manager to define work s requirement project plans and maintenance     Worked closely with Legal consultant business partners from different countries and led several project management work , Intern at PwC,Risk Control Assurance Assoc, Wrote SQL scripts to manipulate data for data loads and extracts from Oracle and SQL Server databases  Wrote scripts in Python and VBA to analyze the data and generated data reports  Conducted the Operating System Review OS Review and Information Technology General Control ITGC over the technology environment of different companies and provided recommendations on mitigation options ,0,0,0,0,0,0,0,0,0,Carnegie Mellon University,Master s degree Management Information Systems General 2013  2014,1,,,
Dell,Software Engineer,Program Manager Intern at Dell May 2014   August 2014  4 months ,Dell,Program Manager Intern,Intern at Texas State Capitol January 2013   May 2013  5 months ,Texas State Capitol,Intern,Education The University of Texas at Austin Finance Computer Science 2011  2015 Hightower High School 2007  2011 ,0,0,0,0,0,0,The University of Texas at Austin,0,2,,,
Intel Corporation,Software Tools/Build Engineer, Working with software configuration management tools  Git  Working with continuous integration tools  Jenkins  Linux Shell  Python scripting experience   ,Intel Corporation,Software Intern,Student Worker at University of Texas at Dallas September 2013   December 2013  4 months ,University of Texas at Dallas,Student Worker,Designed the parking website using Dream Weaver Adobe Photoshop and Adobe InDesign ,0,0,0,0,0,0,The University of Texas at Dallas,Master s degree Computer Science 2013  2014,1,,,
Pinterest,Software Engineer,Software engineer on social growth team ,TripAdvisor,Full Stack Engineer,I m a full stack engineer on the Search and Navigation team at TripAdvisor  I work successfully from a remote office effectively collaborating across 3 different time zones countries and 4 different offices I ve also played a major role in building the TripAdvisor brand at UofT by attending career fairs giving tech talks and interviewing for new hires and interns I am also an active participant in my team s on call rotation for Elastic Search operations ,A Thinking Ape,Software Development Engineer Intern, Developed for iOS client Android client server side and internal tools on Casino X team for various projects  Designed and implemented a game mechanism for level unlocking with achievements for Casino X across server side code iOS client code Android client code and SQL databases  Implemented many performance optimizations for low end Android devices such as dynamically downloading lower quality animation assets based on hardware needs led to 3 increase in user retention rates ,Microsoft,Intern, Actively contributed in 3 different discipline roles program manager PM  software development engineer SDE  software development engineer in test SDET  Designed and development a new feedback mechanism for event driven and feature specific feedback to help the Office Web Apps improve the user experience  Used HTML CSS Javascript Script Sharp C  and HTML DOM manipulation to code the feedback UI  Participated in team bug bashes investigated automation logged bugs and UI automation scripts ,Bank of America Merrill Lynch,Software Engineering Intern, Summer Intern for Electronic Analytics Trading team  Self taught Python to be able to write code  Tested the communication between server and client side code by writing Python testing scripts  Debugged server communication issues  Wrote weekly status reports for manager ,University of Toronto,0,1,,,
American Express,Senior Software Engineer,Software Engineer 1 at American Express January 2016   April 2017  1 year 4 months ,American Express,Software Engineer 1, React redux NodeJS ,Primary Book Club LLC,Technical Director,Software Development Engineer at Intel Corporation May 2015   January 2016  9 months ,Intel Corporation,Software Development Engineer, nodejs AngularJS C  NET SQL Server ,TableTop,Technical Advisor and Developer,Young startup devoted to revolutionizing philanthropy through mobile platforms  ,Ira A Fulton Schools of Engineering at Arizona State University,University of Oklahoma,1,,,
Uber,Software Engineer,Aug 2015  Jun 2016 remote in Seattle office , Scientist at Microsoft,,Bing Geospatial streetside ,Microsoft,Software Engineer,OSG Data  Fundamentals Quality R D Flighting Fundamental ,Colorado School of Mines,Research Assistant,research assistant in EECS ,Microsoft,Software Developer Engineer Intern,Developing an extensible scenario authoring tool ,Master s Degree Computer Science 2013  2013,Central South University,1,,,
Best Buy,Software Engineer - Contract, Infrastructure and Operations development focusing on automation of application deployments  Develop and extend custom in house libraries and tools for environment creation and application deployment to OpenShift and AWS  Work primarily with Ruby and internally developed Gems along with Rails web projects and Angular frontends ,University of Minnesota,Adjunct Teaching Specialist, Adjunct instructor for senior capstone course where students develop projects for a corporate sponsor  Help fill and teach any technology or development skills gaps students may have  Work with corporate sponsor to define requirements and scope of the project ,on Developer at University of Minnesota,Web Appli, Created and supported applications and tools to assist instruction and instructional design  Deployed and administer virtual machines for multiple application stacks Rails and other 3rd party tools  Developed web applications primarily using Ruby on Rails with Angular frontends  Developed mobile applications using Unity for cross platform development  Integrated third party services particularly Google APIs and services with internal applications ,Mithun Agency,Sr. Developer, Web and mobile development for advertising and creative agency s digital group  Built and maintained mobile apps and websites for large national brands ,United Hardware Dist. Co,Software Developer - Contract, Developed middleware for the rollout of a new NET ERP system  Corrected issues with data movement between POS ERP and WMS systems  Implementation of projects primarily focused on C VB net applications backed by SQL Server  Updated database schema and SSIS packages to migrate data ,University of Minnesota Twin Cities,Master s Degree Software Engineering 2014  2016,1,,,
TripAdvisor,Software Engineer,Working as a full stack developer across the technology stack including the back end services  front end servers native APIs databases and web interfaces ,Fitness Trainers Network,Senior Web Developer, Built the webapp at fitnesstrainersnetwork com full stack using PHP MySQL jQuery HTML  CSS in a span of 7 weeks The app can be used to search for personal trainers based on your requirements such as location and avialability It can then be used to connect with the trainer of your choice Other features include user accounts search system with several more filters PayPal integration for Subscriptions and Checkout geocoding via Google Maps API for easy address input and distance calculations MapQuest API integration etc  ,Kumu Wellness,Machine Learning R&D Intern,Worked towards building a trainer client personality matching system based on their conversations on the app The idea was to use a pair wise ranking algorithm  RankBoost by Freund et al 2003  based on the boosting meta algorithm to combine the Big 5 scores of the users and generate the ranks ,Hash,Founder, Designer, Developer,Built four personalization and gaming Android apps  The Joker had over 200 000 downloads ,0,0,0,University of California Los Angeles,Master of Science M S  Computer Science 2014  2016,2,
Amazon,Software Development Engineer,Software Engineer II at Snapdeal April 2017   July 2017  4 months ,Snapdeal,Software Engineer II,Software Engineer 1 at Snapdeal July 2015   March 2017  1 year 9 months Building the private cloud using Openstack ,Snapdeal,Software Engineer 1,,Belzabar Software Design India Private Limited,Summer Internship,Built and Online Coding and Assessment portal integrated with both in house responsibilities of adding reviewing questions etc  and user end solving and submitting questions  ,0,0,0,0,0,1,,,
Coupang,Senior Software Engineer,Search  Coupang ,MA Labs,Software Engineer,Built internal backend tools using Django at Ma Labs MIS Management Information Systems  Department ,Amazon,Software Development Engineer,Worked in the core services team of AWS WorkDocs Zocalo at Amazon Web Services AWS  ,University of Minnesota,Teaching Assistant,TA for Computer Science classes grade assignments hold weekly lab recitations etc ,Amazon,Software Development Engineer Intern, Coded in Transaction Risk Management System TRMS team in Amazon to help better manage seller performance ,University of Minnesota Twin Cities,Master of Science M S  Computer Science 2013  2014,1,,,
Uber,Site Reliability Engineer,Working on scaling out Uber s datacenter to cloud  making Uber s Self Driving car Infrastructure more reliable ,Nokia Technologies,Software Engineer: Cloud & DevOps, Architect a highly available scalable and fault tolerant infrastructure on AWS  Automate infrastructure creation deployment and recovery using Ansible Salt Docker Terraform  Jenkins     Jenkins and Ansible based large scale deployment of java and nodejs application  Implement zero downtime rolling updates for applications in cloud  Automate multiple VPC pairing across same and different AWS accounts to facilitate resource sharing and communication  Owned and managed cloud server components such as Docker registry iPython server Crash log server Mesos and Salt Master  Co coordinating with development team for efficient Cloud Based predictions for popular Z launcher  Service status monitoring using DataDog  New Relic to provide complete overview of system health  Code analysis using coverity  code coverage using jacoco  Scrum Master Facilitate release planning daily scrum meetings reviews user story selection and task definition using Rally Agile Project Management Software ,on / Infrastructure Developer Intern at Juniper Networks,Cloud Appli, Established continuous integration environment using Packer and Jenkins  Performed configuration management system orchestration and application deployment using Ansible and Ansible Tower  Constructed a continuous infrastructure and application deployment pipeline on Amazon Web Services AWS  Performed stress testing on automation pipeline and active environment change tracking using Edda ,Renu Skin Care,Web Master,Collaborated with client to identify the requirements within their budget designed a rough layout and submitted it to client for evaluation Designed the final layout and developed the website Added a few features based on clients changed requirements Purchased and registered the domain for client Hosted the website on the server ,MT Educare Limited,Branch Councellor & Tutor, Worked in a corporate environment responsibility was to handle incoming inquiries and increase admissions Target a customer base and to make them purchase course packages ,San Jose State University,Master s degree Computer Engineering 2013  2015,1,,,
Amazon,Software Development Engineer,Software Developer at Oracle May 2016   August 2017  1 year 4 months ,Oracle,Software Developer,Software Developer in Oracle Public Cloud  Developing enterprise software with KnockoutJS  Javascript ADF JSF  jQuery REST JSON HTML CSS JDeveloper Bootstrap JAVA a distributed control version tool ADE  OracleJET worked under Agile methodologies SCRUM  ,0,0,0,0,0,0,0,0,0,0,0,1,,,
Intel Corporation,Software Engineer, Graduate Teaching Assistant at Purdue University January 2016   May 2016  5 months , Teaching Assistant at Purdue University,Grad,Operating Systems Engineering ECE469 , Research Assistant at Purdue University,Grad,Lead Engineer at Samsung Electronics March 2013   July 2014  1 year 5 months ,Samsung Electronics,Lead Engineer,Senior Software Engineer at Samsung Electronics March 2012   February 2013  1 year ,Samsung Electronics,Senior Software Engineer,Software Engineer at Samsung Electronics August 2010   February 2012  1 year 7 months ,Purdue University,0,1,,,
Apple,Software Engineer,Siri Proactive   Developed an end 2 end data analytics platform from scratch including metrics logging API ETL pipeline Spark SparkSQL and interactive visualization Zeppelin  Supported data driven engineering for KPI analytics and A B testing ,Hortonworks,Software Engineer - Intern,  Contributed to open source projects with columnar storage solutions for Hadoop based data platforms  Developed data serialization protocol to support ORC optimized row columnar file format in Apache Crunch and Cascading  Applied project pushdown in Cascading and Crunch optimizing data pipeline performance by up to 8x ,Unravel Data Systems  Inc.,Software Engineering Consultant, Developed rule based performance models to optimize Hive  MapReduce jobs on Amazon EC2  EMR  Implemented a query optimizer for Hive SQL improving Hive performance by up to 3x ,Baidu  Inc.,Senior Software Engineer,Infrastructure Department   Core developer of the distributed task scheduling system to support Baidu s petabyte scale web indexing and ranking  Performed performance profiling and analysis on large scale distributed systems 3 000 nodes  Applied optimizations in RPC compression and distributed cache improving production cluster efficiency by 30  Designed and developed the cluster profiling data warehouse for Baidu s distributed computing infrastructure ,IBM Research - China,Intern,Information Intelligence and Interaction Department   Developed the backend data pipeline for the content recommendation system of IBM BlogCentral  Parallelized random decision tree RDT algorithm to boost performance in multi label classification ,Duke University,Master of Science M S  Computer Science 2013  2015,1,,,
Apple,Senior Software Engineer,Associate Architect at Costco Wholesale February 2012   Present  5 years 9 months , Architect at Costco Wholesale,Assoc,Lead Software Developer at RapidIT Inc September 2007   October 2011  4 years 2 months ,RapidIT Inc,Lead Software Developer,As a consultant I worked at Amazon  Target  Marks and Spencer websites Cisco Systems  Flip video group designing and developing Java J2EE applications using programming enterprise best practices ,Makeup.com,Software Developer,Experience in requirements gathering design enhancements ,Nokia Mobile Phones,Software Engineering Intern,Wrote C  like scripts for testing CDMA phone s features using the STIF S60 Test Integration Framework  a toolkit for test case development These scripts tested all regression cases ,Stanford University Graduate School of Business,The University of British Columbia,1,,,
Amazon,Software Development Engineer,SDE 1  Alexa Machine Learning ,iPlant Collaborative,Student Software Developer,Student Web Developer at University of Arizona October 2012   February 2015  2 years 5 months ,University of Arizona,Student Web Developer,I helped build and maintain a Drupal 7 website for the Confluencenter for Creative Inquiry ,Jack in the Box,Cashier,Education University of Arizona Bachelor of Science BS  Computer Science 2012  2016 ,0,0,0,University of Arizona,0,1,,,
Tribalist,Software Engineer Internship,Developing new content especially music lists ,Ashford University,Adjunct Instructor,Carrying out course design including drafting written lectures and links to relevant readings videos and key sources ,The University of New Mexico,Instructor and PhD Researcher,RESEARCH Carried out ethnographic research including using field notes and participant observation Interpreted data on elections and policies to write policy reports Developed a state of the art dataset to study topic of PhD dissertation Data was obtained by drafting sending out and collecting survey questionnaires through Facebook phone and email  newspaper content analysis and mining data from official government databases as well as more informal sources   , Assistant at The University of New Mexico,Grad,Supported sociology instructors with grading proctoring exams mentoring and tutoring students  keeping records and providing supplemental classroom instruction ,TripAdvisor,Online Content Analyst,Monitored customer reviews in Italian French and Spanish for language and content for a large travel website and updated customer facing web content as needed  ,The University of New Mexico,Doctor of Philosophy  PhD Sociology 2010  2017,1,,,
TripAdvisor,Software Engineer,Research Assistant at KDRG Group School of Computer Science Florida International University September 2012   April 2014  1 year 8 months ,KDRG Group  School of Computer Science  Florida International University,Research Assistant,  Conducted research exploration on Mimic2 medical dataset   Research on the data mining techniques for associating images and patient s cases from Mimic2 data ,Xerox Innovation Group,Research Internship,  Explored sentiment and topic based tweets and experimented the interaction of sentiment and topic labels in terms of the classication results   Designed and implemented algorithms for batch and streaming event detection from tweets   Designed and implemented a crawler for collecting the global Twitter social graph continuously   Designed and implemented an algorithm for identifying influential users and predicting their influence in the social network   Implemented a crawler for collecting the conversation tweets from Twitter ,KDRG Group  School of Computer Science  Florida International University,Research Assistant,  Collected research author publication dataset from ACM   Implemented a search engine over the research author publication dataset based on Apache Lucene ,School of Computer Science  Florida International University,Teaching Assistant,  Assisted in tutoring students in the computer laboratory for courses including Introduction to Micro Computer Computer Data Analysis ,Florida International University,0,1,,,
Facebook,Software Engineer,Senior Software Engineer at TripAdvisor October 2014   July 2016  1 year 10 months ,TripAdvisor,Senior Software Engineer,I was doing a lot of iOS coding and some product management here Was able to improve overall architecture of the iOS app and to encourage other members of the team to adopt best practices of object oriented design Key engineering projects all of them are parts of TripAdvisor iOS app  neighborhoods travel guides refactoring of search UI refactoring of app navigation features Apple Watch app for watchOS 1 ,Exadel,Lead software developer,Design and development of in house iOS applications and reusable components that perform security related functions and used in all iOS applications across the enterprise ,Qulix Systems,Senior software developer,Development of web applications for Microsoft NET platform and mobile applications on Apple iOS platform Assisting other developers in preparation for Microsoft certification exams Supervising a small team of NET developers 3  4 people  ,Belhard,Software developer,Development of web applications for Microsoft NET platform ,Belarusian State University of Informatics and Radioelectronics,0,1,,,
Dell,Senior Principal Software Engineer,Software Development Consultant at Sitemason October 2013   March 2014  6 months ,Sitemason,Software Development Consultant,Programmer Analyst at Vanderbilt Vision Research Center September 2013   January 2014  5 months ,Vanderbilt Vision Research Center,Programmer/Analyst,Mobile Development Consultant at United Methodist Publishing House May 2013   September 2013  5 months ,United Methodist Publishing House,Mobile Development Consultant,PHP Developer at School of the Legends January 2013   May 2013  5 months ,School of the Legends,PHP Developer,Research Assistant Biomedical Informatics at Vanderbilt University Medical Center June 2012   January 2013  8 months ,Vanderbilt University,Vanderbilt University,1,,,
Uber,Software Engineer,Software Engineering Intern at Facebook June 2014   September 2014  4 months ,Facebook,Software Engineering Intern,Software Development Engineering Intern at Amazon Lab126 July 2013   September 2013  3 months ,Amazon Lab126,Software Development Engineering Intern,Software Engineering Intern at LemonCrate August 2012   September 2012  2 months ,LemonCrate,Software Engineering Intern,Education University of California Los Angeles Bachelor of Science BS  Computer Science 2011  2015 Activities and Societies  Upsilon Pi Epsilon ,0,0,0,University of California Los Angeles,0,2,,,
Apple,Software Engineer,Software Engineer level II at Hulu June 2016   September 2017  1 year 4 months ,Hulu,Software Engineer (level II),Software Engineer at Amazon March 2015   June 2016  1 year 4 months ,Amazon,Software Engineer,Software Engineer Intern at Acxiom June 2014   February 2015  9 months ,Acxiom,Software Engineer Intern,1 Develop Saas software in a agile environment 2 Focus on both front end and back end project development 3 Development project timely to meet the product Audience OnBoard release requirement ,TCL Multimedia,Software Engineer Internship,1 Developed an online video on demand system software using Spring MVC framework 2 Implemented video publish function by using JQuery and AJAX 3 Analysis and design NoSql Cassandra database ER map 4 Took part in client demand analysis and architecture design ,Santa Clara University,Master s degree Computer Engineering 2013  2014,1,,,
Intel Corporation,Software Engineer, Designing and development of C  Graphics pipeline to be used in Intel s future chip  Implementing validation framework  developing simulation Software tool to support RTL validation for 3D Graphics team which is also used for pre silicon and post silicon driver validation and development ,Intel Corporation,Graphics Software Intern, Designed and developed C  pipelines that model 3D Display Media technology and new algorithms used in Intel s chips  Software design  development and validation of new pipeline features ,Tata Consultancy Services,Software Engineer,Project Lead for Prisma Primavera Site Management  Developed web services for GE Oil  Gas that enable end users to automate project activities  resource and task management using Java Spring SOAP WS Oracle 10g DB and Primavera API  Was awarded Lean Six Sigma to save end user time and cost to business by increasing the code efficiency saving approximately 50k  Lead a team of 4 members Responsibilities include attending business meeting with client to understand the requirements ,0,0,0,0,0,0,The University of Texas at Dallas,Master s degree Computer Science 2014  2016,1,,,
TripAdvisor,Software Engineer,Software engineer on the Places team ,Amazon,Software Devolment Engineer - Intern,Software engineering for AWS services Worked on the Amazon Machine Learning team to develop a web service to manage computing resources ,Niantic Bay Yacht Club,Sailing Instructor,Coaching two race teams as well teaching beginner classes ,0,0,0,0,0,0,Tufts University,0,1,,,
Intel Corporation,Network Software Engineer,Software Defined Networking engineer enabling the SDN NFV and cloud transformation  Committed to OpenSource ,on Engineer at Intel Corporation,Software Vali,Test and validate Intel network drivers on Red Hat Enterprise Linux Focus on Data Center Bridging  DCB and Fibre Channel over Ethernet FCoE  including user space tools open fcoe and open lldpad  Develop automated tests and run automated regression on drivers and tools Manage validation process develop test plans and direct a team of testers ,0,SCIGON Solutions,Validated network storage drivers through work with FCoE  FC  iSCSI equipment  devices such as forwarders switches storage arrays and host bus adapter HBA  converged network adapter  CNA  Worked in Windows Linux and virtualization Hyper V  Used storage and network testing tools such as IOmeter IOzone dt netperf ntttcp iperf etc Measured performance and analyzed network storage drivers and their output Automated test cases and added features to and update automated test code base ,Propeller Heads,Consultant - Network & System Admin.,Worked with business owners providing technology recommendations and budget for existing and future technology requirements  Supported Windows active directory domains Windows and Linux servers plus an assortment of client PCs Managed maintained supported and designed small business networks including security hardening and testing Created physical data flow and use case network diagrams  Provided end user support and repair service ,Gannett / Statesman Journal,Reporter - Intern,Wrote news pieces including front page story on Cash for Clunkers Salvage and front of section story about hiking Opal Creek Convinced a variety of people to interview and divulge useful information Executed an Oregon Public Employees Retirement System data analysis project supporting an investigative expos  ,Western Governors University,Whitman College,1,,,
Fractal Analytics,Senior Consultant,Capstone Researcher at IRI January 2017   August 2017  8 months ,IRI,Capstone Researcher,Executing an advanced analytics project with the Retail R D team at IRi to analyze customer behaviors  shopping patterns in combination with demographic data predict wallet share of US customers for each retailer and design marketing strategies for each customer segment to increase spending ,Apple,Lead Telecom Sales Consultant,Drove iPhone Mac iPad business across 4 states and managed a 45 member team Managed key accounts of Apple Premium Resellers Designed dashboards for data analysis sales forecasting and providing analytical insights on sell in and sell out data Analyzed consumer behavior through self designed models and developed strategy and implemented innovative techniques to enhance conversion ratio and customer experience ,Microsoft,Summer Intern, Piloted and scaled the Microsoft Student Partner MSP program in India for technical and non technical students and successfully landed more than 4000 student ambassadors in the program from more than 3000 colleges in India Handled key initiatives like raising sponsorship PR  communication and digital marketing for Imagine Cup and MSP Program ,Unlearn Formulae,Product Manager, Managed the entire product life cycle from strategic planning to tactical activities  Led design engineering execution and go to market strategies to drive new product development on mobile applications  Designed and implemented offline  online marketing strategy developed content  built business for the start up  Presented sales pitches  gave product demonstrations to potential clients ,The University of Chicago,Master of Science M Sc  Analytics 2016  2017,1,,,
Expedia  Inc.,Software Deeveloper,Working with Spring Boot JPA OAuth2  AMQ with JMS as the client IDE IntelliJ Deployment with Jenkins As part of my Job I am also required to work on Microsoft IIS and C  , Teaching Associate at The Ohio State University,Grad, Teaching the class CSE2111 Modeling and Problem Solving with Spreadsheets and Databases , Technical Intern at Intel Corporation,Grad, Worked with teams in three Different countries and time zones Successfully delivered the product for the team , at Advanced Computer Center for Arts and Design  The Ohio State University.,Research Assoc, Develop software for graphically advanced applications including animation visualization games  interfaces and video and data manipulation tools and scripts ,Freelance,Software Engineer, Mobile Application Development for in house businesses and small scale retailers ,The Ohio State University,Master s Degree Computer Science 2015  2016,1,,,
Dell,Senior Firmware Engineer,Platform Software Engineer at Dell July 2015   Present  2 years 4 months ,orm Software Engineer at Dell,P, Working on system management features using Dell s Embedded Linux Processor iDRAC   Part of SupportAssist team in the Lifecycle Controller module and involved in the product development of this feature for Dell s upcoming 14G servers from planning and design to development and testing ,University of Houston,Instructional Assistant, Designed online courses for Construction Management and Project Management department using Blackboard Learn and Camtasia software   Conducted workshops about Blackboard Learn working an usage for professors and Teaching Assistants  Assisted professors in managing coursework online designing assignments and exams for Software Design class  ,HCL Infosystems Ltd,Software Developer Intern, Assisted in banking project of a state bank undertaken by the company   Created user friendly bi lingual modules for the bank s website using application server JBoss 4 0 2 CR2 Eclipse IDE and Java programming language ,0,0,0,University of Houston,Master s Degree Computer Science 2013  2015,1,,,
